gridNo,featNo,weight,grid_x,grid_y,grid_z
21278,3,350.8976,12,20,34
21278,4,447.304,12,20,34
21278,5,242.44243,12,20,34
21279,0,-410.34247,12,20,35
21279,4,-472.98724,12,20,35
21280,1,474.4631,12,20,36
21282,0,-312.5938,12,20,38
21282,1,-312.55872,12,20,38
21319,4,124.30398,12,21,28
21320,1,457.7399,12,21,29
21320,4,-333.0082,12,21,29
21321,0,238.34468,12,21,30
21321,1,459.0322,12,21,30
21321,3,315.2868,12,21,30
21321,4,38.022194,12,21,30
21321,5,315.3155,12,21,30
21322,1,306.39423,12,21,31
21322,4,417.08017,12,21,31
21323,4,519.89575,12,21,32
21324,0,-478.94894,12,21,33
21324,1,366.72583,12,21,33
21325,1,-366.21857,12,21,34
21325,4,-258.44528,12,21,34
21362,1,123.974236,12,22,24
21367,1,-118.05483,12,22,29
21368,3,-332.90665,12,22,30
21370,3,155.48741,12,22,32
21370,4,479.95905,12,22,32
21370,5,155.44041,12,22,32
21373,1,-381.6167,12,22,35
21417,4,348.35202,12,23,32
21418,0,-96.91874,12,23,33
21467,4,399.3105,12,24,35
21468,4,-381.75266,12,24,36
22494,1,201.62706,13,10,28
22591,1,326.92343,13,12,31
22633,5,387.41943,13,13,26
22637,1,474.65253,13,13,30
22638,1,347.43753,13,13,31
22640,0,493.52936,13,13,33
22640,2,493.52127,13,13,33
22676,0,-481.9941,13,14,22
22676,2,-481.93835,13,14,22
22683,2,-224.57436,13,14,29
22683,3,389.6089,13,14,29
22683,5,476.58142,13,14,29
22685,1,-371.28113,13,14,31
22687,1,81.64433,13,14,33
22688,0,265.03403,13,14,34
22688,1,265.12155,13,14,34
22730,1,-312.69342,13,15,29
22730,4,241.76973,13,15,29
22731,3,-434.27496,13,15,30
22731,4,293.37595,13,15,30
22731,5,-434.23178,13,15,30
22733,1,224.35986,13,15,32
22734,1,148.4112,13,15,33
22774,1,405.12518,13,16,26
22774,3,-179.18623,13,16,26
22774,4,575.3145,13,16,26
22775,3,115.26983,13,16,27
22775,4,-475.39658,13,16,27
22775,5,115.31223,13,16,27
22776,4,-94.20013,13,16,28
22777,0,-125.34028,13,16,29
22777,3,340.59515,13,16,29
22777,4,409.7969,13,16,29
22777,5,340.596,13,16,29
22778,1,105.20899,13,16,30
